number,opcode,operands,result,may_throw,may_bailout,may_call_php,may_run_dtor,reference_semantics,observer_boundary,interrupt_boundary,existing_jit_support,planned_znmir_lowering,n0_x64,n0_a64,special_cases,effect_ids,read_domains,write_domains,ownership_actions,barrier_ids,tests,source_refs,reason
0,ZEND_NOP,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",none,never,never,never,never,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,partial,runtime.misc,not_started,not_started,[],[],[],[],[],[],"[""contract.opcode_matrix"",""opcode.ZEND_NOP""]","[{""end_line"":8144,""path"":""Zend/zend_vm_def.h"",""start_line"":8138,""symbol"":""ZEND_NOP""},{""end_line"":2726,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2726,""symbol"":""ZEND_NOP""}]",The cited VM definition is an explicit control/metadata no-op with pure/no-memory/no-ownership behavior; it contains no semantic value access.
27,ZEND_ASSIGN_DIM_OP,"{""dispatches"":[],""extended"":[""OP""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""VAR"",""CV""],""op2"":[""CONST"",""TMP"",""UNUSED"",""NEXT"",""CV""],""spec"":[],""variants"":[]}",in_place,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference"",""zts""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.array"",""heap.object"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""gc.metadata"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""cow_separate"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ASSIGN_DIM_OP""]","[{""end_line"":1255,""path"":""Zend/zend_vm_def.h"",""start_line"":1155,""symbol"":""ZEND_ASSIGN_DIM_OP""},{""end_line"":1832,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1832,""symbol"":""ZEND_ASSIGN_DIM_OP""},{""end_line"":4734,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4734,""symbol"":""ZEND_ASSIGN_DIM_OP""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
28,ZEND_ASSIGN_OBJ_OP,"{""dispatches"":[],""extended"":[""OP""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""VAR"",""UNUSED"",""THIS"",""CV""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[],""variants"":[]}",in_place,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.object"",""heap.reference"",""heap.string"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ASSIGN_OBJ_OP""]","[{""end_line"":1099,""path"":""Zend/zend_vm_def.h"",""start_line"":1007,""symbol"":""ZEND_ASSIGN_OBJ_OP""},{""end_line"":1918,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1918,""symbol"":""ZEND_ASSIGN_OBJ_OP""},{""end_line"":4876,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4876,""symbol"":""ZEND_ASSIGN_OBJ_OP""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
29,ZEND_ASSIGN_STATIC_PROP_OP,"{""dispatches"":[],""extended"":[""OP""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",in_place,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,trace,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""heap.object"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ASSIGN_STATIC_PROP_OP""]","[{""end_line"":1154,""path"":""Zend/zend_vm_def.h"",""start_line"":1100,""symbol"":""ZEND_ASSIGN_STATIC_PROP_OP""},{""end_line"":6790,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6790,""symbol"":""ZEND_ASSIGN_STATIC_PROP_OP""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
30,ZEND_ASSIGN_REF,"{""dispatches"":[],""extended"":[""SRC""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""VAR"",""CV""],""op2"":[""VAR"",""CV""],""spec"":[],""variants"":[]}",in_place,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,none,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference"",""zts""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.array"",""heap.object"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ASSIGN_REF""]","[{""end_line"":2900,""path"":""Zend/zend_vm_def.h"",""start_line"":2862,""symbol"":""ZEND_ASSIGN_REF""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
31,ZEND_QM_ASSIGN,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""CONST"",""TMP"",""VAR"",""CV""],""op2"":[""ANY""],""spec"":[],""variants"":[{""condition"":""(op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_QM_ASSIGN_LONG"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""ANY""],""source_line"":10409,""spec"":[]},{""condition"":""(op1_info == MAY_BE_DOUBLE)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_QM_ASSIGN_DOUBLE"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""ANY""],""source_line"":10419,""spec"":[]},{""condition"":""((op->op1_type == IS_CONST) ? !Z_REFCOUNTED_P(RT_CONSTANT(op, op->op1)) : (!(op1_info & ((MAY_BE_ANY|MAY_BE_UNDEF)-(MAY_BE_NULL|MAY_BE_FALSE|MAY_BE_TRUE|MAY_BE_LONG|MAY_BE_DOUBLE)))))"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_QM_ASSIGN_NOREF"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""ANY""],""source_line"":10429,""spec"":[]}]}",temporary,conditional,never,never,never,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,both,runtime.reference,not_started,not_started,"[""exception"",""reference""]","[""read_memory"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.reference""]","[""engine.exception"",""frame.temps"",""heap.reference""]","[""canonicalize"",""copy_addref"",""move"",""produce_owned""]","[""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_QM_ASSIGN""]","[{""end_line"":7967,""path"":""Zend/zend_vm_def.h"",""start_line"":7930,""symbol"":""ZEND_QM_ASSIGN""},{""end_line"":2061,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2061,""symbol"":""ZEND_QM_ASSIGN""},{""end_line"":5238,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":5238,""symbol"":""ZEND_QM_ASSIGN""}]","The cited VM handler and operand declaration provide the exception, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
32,ZEND_ASSIGN_OBJ_REF,"{""dispatches"":[],""extended"":[""CACHE_SLOT"",""SRC""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""VAR"",""UNUSED"",""THIS"",""CV""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[""OP_DATA=VAR|CV""],""variants"":[]}",in_place,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,trace,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.object"",""heap.reference"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ASSIGN_OBJ_REF""]","[{""end_line"":2937,""path"":""Zend/zend_vm_def.h"",""start_line"":2901,""symbol"":""ZEND_ASSIGN_OBJ_REF""},{""end_line"":6791,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6791,""symbol"":""ZEND_ASSIGN_OBJ_REF""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
33,ZEND_ASSIGN_STATIC_PROP_REF,"{""dispatches"":[],""extended"":[""CACHE_SLOT"",""SRC""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",in_place,conditional,conditional,never,conditional,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,trace,runtime.reference,not_started,not_started,"[""destructor"",""exception"",""reference"",""zts""]","[""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""heap.object"",""heap.reference"",""heap.zval"",""runtime.cache""]","[""engine.exception"",""frame.call_chain"",""heap.reference"",""heap.zval""]","[""canonicalize"",""conditional_destroy"",""copy_addref"",""transfer""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_ASSIGN_STATIC_PROP_REF""]","[{""end_line"":2985,""path"":""Zend/zend_vm_def.h"",""start_line"":2938,""symbol"":""ZEND_ASSIGN_STATIC_PROP_REF""},{""end_line"":6792,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":6792,""symbol"":""ZEND_ASSIGN_STATIC_PROP_REF""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, reference/indirect, ZTS executor-global paths used for this conservative annotation; JIT status uses only cited compiler cases."
34,ZEND_PRE_INC,"{""dispatches"":[{""kind"":""helper"",""source_line"":1543,""target"":""zend_pre_inc_helper"",""target_end_line"":1527,""target_start_line"":1495}],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""VAR"",""CV""],""op2"":[""ANY""],""spec"":[""RETVAL""],""variants"":[{""condition"":""(res_info == MAY_BE_LONG && op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_PRE_INC_LONG_NO_OVERFLOW"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10313,""spec"":[""RETVAL""]},{""condition"":""(op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_PRE_INC_LONG"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10326,""spec"":[""RETVAL""]}]}",in_place,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,runtime.misc,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.locals"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy"",""copy_addref"",""move""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_PRE_INC""]","[{""end_line"":1527,""path"":""Zend/zend_vm_def.h"",""start_line"":1495,""symbol"":""zend_pre_inc_helper""},{""end_line"":1545,""path"":""Zend/zend_vm_def.h"",""start_line"":1528,""symbol"":""ZEND_PRE_INC""},{""end_line"":1616,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1616,""symbol"":""ZEND_PRE_INC""},{""end_line"":4450,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4450,""symbol"":""ZEND_PRE_INC""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_pre_inc_helper) are cited and included in the conservative effect union.
35,ZEND_PRE_DEC,"{""dispatches"":[{""kind"":""helper"",""source_line"":1595,""target"":""zend_pre_dec_helper"",""target_end_line"":1579,""target_start_line"":1546}],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""VAR"",""CV""],""op2"":[""ANY""],""spec"":[""RETVAL""],""variants"":[{""condition"":""(res_info == MAY_BE_LONG && op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_PRE_DEC_LONG_NO_OVERFLOW"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10339,""spec"":[""RETVAL""]},{""condition"":""(op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_PRE_DEC_LONG"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10352,""spec"":[""RETVAL""]}]}",in_place,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,runtime.misc,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.locals"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy"",""copy_addref"",""move""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_PRE_DEC""]","[{""end_line"":1579,""path"":""Zend/zend_vm_def.h"",""start_line"":1546,""symbol"":""zend_pre_dec_helper""},{""end_line"":1597,""path"":""Zend/zend_vm_def.h"",""start_line"":1580,""symbol"":""ZEND_PRE_DEC""},{""end_line"":1617,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1617,""symbol"":""ZEND_PRE_DEC""},{""end_line"":4451,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4451,""symbol"":""ZEND_PRE_DEC""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_pre_dec_helper) are cited and included in the conservative effect union.
36,ZEND_POST_INC,"{""dispatches"":[{""kind"":""helper"",""source_line"":1643,""target"":""zend_post_inc_helper"",""target_end_line"":1629,""target_start_line"":1598}],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""VAR"",""CV""],""op2"":[""ANY""],""spec"":[],""variants"":[{""condition"":""(res_info == MAY_BE_LONG && op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_POST_INC_LONG_NO_OVERFLOW"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10365,""spec"":[]},{""condition"":""(op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_POST_INC_LONG"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10376,""spec"":[]}]}",in_place,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,runtime.misc,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.locals"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy"",""copy_addref""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_POST_INC""]","[{""end_line"":1629,""path"":""Zend/zend_vm_def.h"",""start_line"":1598,""symbol"":""zend_post_inc_helper""},{""end_line"":1645,""path"":""Zend/zend_vm_def.h"",""start_line"":1630,""symbol"":""ZEND_POST_INC""},{""end_line"":1618,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1618,""symbol"":""ZEND_POST_INC""},{""end_line"":4452,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4452,""symbol"":""ZEND_POST_INC""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_post_inc_helper) are cited and included in the conservative effect union.
37,ZEND_POST_DEC,"{""dispatches"":[{""kind"":""helper"",""source_line"":1691,""target"":""zend_post_dec_helper"",""target_end_line"":1677,""target_start_line"":1646}],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""VAR"",""CV""],""op2"":[""ANY""],""spec"":[],""variants"":[{""condition"":""(res_info == MAY_BE_LONG && op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_POST_DEC_LONG_NO_OVERFLOW"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10387,""spec"":[]},{""condition"":""(op1_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_POST_DEC_LONG"",""op1"":[""CV""],""op2"":[""ANY""],""source_line"":10398,""spec"":[]}]}",in_place,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,runtime.misc,not_started,not_started,"[""destructor"",""exception"",""reference""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.reference"",""heap.zval""]","[""engine.exception"",""frame.locals"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""borrow"",""canonicalize"",""conditional_destroy"",""copy_addref""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_POST_DEC""]","[{""end_line"":1677,""path"":""Zend/zend_vm_def.h"",""start_line"":1646,""symbol"":""zend_post_dec_helper""},{""end_line"":1693,""path"":""Zend/zend_vm_def.h"",""start_line"":1678,""symbol"":""ZEND_POST_DEC""},{""end_line"":1619,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1619,""symbol"":""ZEND_POST_DEC""},{""end_line"":4453,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4453,""symbol"":""ZEND_POST_DEC""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_post_dec_helper) are cited and included in the conservative effect union.
38,ZEND_PRE_INC_STATIC_PROP,"{""dispatches"":[],""extended"":[""CACHE_SLOT""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",in_place,conditional,never,never,never,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,none,runtime.object,not_started,not_started,"[""exception"",""reference""]","[""call_internal"",""read_memory"",""throw"",""write_memory""]","[""engine.exception"",""heap.object"",""heap.reference"",""runtime.cache""]","[""engine.exception"",""heap.reference"",""heap.zval""]","[""borrow"",""canonicalize""]","[""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_PRE_INC_STATIC_PROP""]","[{""end_line"":1455,""path"":""Zend/zend_vm_def.h"",""start_line"":1428,""symbol"":""ZEND_PRE_INC_STATIC_PROP""}]","The cited VM handler and operand declaration provide the exception, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
39,ZEND_PRE_DEC_STATIC_PROP,"{""dispatches"":[{""kind"":""handler"",""source_line"":1458,""target"":""ZEND_PRE_INC_STATIC_PROP"",""target_end_line"":1455,""target_start_line"":1428}],""extended"":[""CACHE_SLOT""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",in_place,conditional,never,never,never,The cited dispatched handler carries the target opcode's reference and indirect-zval semantics.,never,never,none,runtime.object,not_started,not_started,"[""exception"",""reference""]","[""call_internal"",""read_memory"",""throw"",""write_memory""]","[""engine.exception"",""heap.object"",""heap.reference"",""runtime.cache""]","[""engine.exception"",""heap.reference"",""heap.zval""]","[""borrow"",""canonicalize""]","[""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_PRE_DEC_STATIC_PROP""]","[{""end_line"":1455,""path"":""Zend/zend_vm_def.h"",""start_line"":1428,""symbol"":""ZEND_PRE_INC_STATIC_PROP""},{""end_line"":1461,""path"":""Zend/zend_vm_def.h"",""start_line"":1456,""symbol"":""ZEND_PRE_DEC_STATIC_PROP""}]",The cited VM handler and operand declaration provide the ordinary operand/result paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched handler definitions (ZEND_PRE_INC_STATIC_PROP) are cited and included in the conservative effect union.
40,ZEND_POST_INC_STATIC_PROP,"{""dispatches"":[],""extended"":[""CACHE_SLOT""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",in_place,conditional,never,never,never,"The cited handler contains an explicit reference, indirect, dereference, or separation path; preserve alias identity and the listed ownership actions.",never,never,none,runtime.object,not_started,not_started,"[""exception"",""reference""]","[""call_internal"",""read_memory"",""throw"",""write_memory""]","[""engine.exception"",""heap.object"",""heap.reference"",""runtime.cache""]","[""engine.exception"",""heap.reference"",""heap.zval""]","[""borrow"",""canonicalize""]","[""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_POST_INC_STATIC_PROP""]","[{""end_line"":1489,""path"":""Zend/zend_vm_def.h"",""start_line"":1462,""symbol"":""ZEND_POST_INC_STATIC_PROP""}]","The cited VM handler and operand declaration provide the exception, reference/indirect paths used for this conservative annotation; JIT status uses only cited compiler cases."
41,ZEND_POST_DEC_STATIC_PROP,"{""dispatches"":[{""kind"":""handler"",""source_line"":1492,""target"":""ZEND_POST_INC_STATIC_PROP"",""target_end_line"":1489,""target_start_line"":1462}],""extended"":[""CACHE_SLOT""],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",in_place,conditional,never,never,never,The cited dispatched handler carries the target opcode's reference and indirect-zval semantics.,never,never,none,runtime.object,not_started,not_started,"[""exception"",""reference""]","[""call_internal"",""read_memory"",""throw"",""write_memory""]","[""engine.exception"",""heap.object"",""heap.reference"",""runtime.cache""]","[""engine.exception"",""heap.reference"",""heap.zval""]","[""borrow"",""canonicalize""]","[""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_POST_DEC_STATIC_PROP""]","[{""end_line"":1489,""path"":""Zend/zend_vm_def.h"",""start_line"":1462,""symbol"":""ZEND_POST_INC_STATIC_PROP""},{""end_line"":1494,""path"":""Zend/zend_vm_def.h"",""start_line"":1490,""symbol"":""ZEND_POST_DEC_STATIC_PROP""}]",The cited VM handler and operand declaration provide the ordinary operand/result paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched handler definitions (ZEND_POST_INC_STATIC_PROP) are cited and included in the conservative effect union.
42,ZEND_JMP,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""JMP_ADDR""],""op2"":[""ANY""],""spec"":[],""variants"":[{""condition"":""(OP_JMP_ADDR(op, op->op1) > op)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_JMP_FORWARD"",""op1"":[""JMP_ADDR""],""op2"":[""ANY""],""source_line"":10044,""spec"":[]}]}",control,never,never,never,never,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,partial,control.branch,not_started,not_started,[],"[""read_memory"",""write_memory""]","[""frame.call_chain""]","[""frame.call_chain""]","[""borrow""]",[],"[""contract.opcode_matrix"",""opcode.ZEND_JMP""]","[{""end_line"":3134,""path"":""Zend/zend_vm_def.h"",""start_line"":3128,""symbol"":""ZEND_JMP""},{""end_line"":281,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":281,""symbol"":""ZEND_JMP""}]",The cited VM handler and operand declaration provide the ordinary operand/result paths used for this conservative annotation; JIT status uses only cited compiler cases.
